Jobname,predecessor ,Folder Name,workflow Name,Mapping Name,Mapping Categorization,Target Table Name,cmdline
P17mer,p52mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_policy,Very Complex,dm.D_policy,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
P17mer,p24mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_policy,Very Complex,dm.d_company,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
P17mer,p76mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_policy,Very Complex,dm.d_industry,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
P17mer,p56mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_policy,Very Complex,dm.producer,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
P17mer,p12mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_policy,Very Complex,stg.policy,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
P17mer,p01mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_coverage,Medium,stg.acct,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
P17mer,p02mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_coverage,Medium,stg.control,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
P17mer,p03mer,Auto_stag_to_target,wf_d_auto_policy,m_d_auto_coverage,Medium,control_total,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_d_auto_policy/log/wf_d_auto_policy_cotlm.log 2>&1
p24mer,p05mer,Auto_stag_to_target,wf_folder_control,m_folder_control,low,folder_control,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_folder_control/log/wf_folder_control_cotlm.log 2>&1
p24mer,p08mer,Auto_stag_to_target,wf_folder_control,m_cycle,low,Cycle,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_folder_control/log/wf_folder_control_cotlm.log 2>&1
p24mer,p13mer,Auto_stag_to_target,wf_folder_control,m_cycle_tap,low,cycle_tap,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_folder_control/log/wf_folder_control_cotlm.log 2>&1
p24mer,p14mer,Auto_stag_to_target,wf_folder_control,m_control_date,low,control_date,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_folder_control/log/wf_folder_control_cotlm.log 2>&1
p24mer,p15mer,Auto_stag_to_target,wf_folder_control,m_control_date,low,folder_control,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_folder_control/log/wf_folder_control_cotlm.log 2>&1
p52mer,p33mer,Auto_stag_to_target,wf_records_tap,m_records_tap,low,policy_term,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_records_tap/log/wf_records_tap_cotlm.log 2>&1
p52mer,p36mer,Auto_stag_to_target,wf_records_tap,m_records_tap,low,folder_control,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_records_tap/log/wf_records_tap_cotlm.log 2>&1
p52mer,p37mer,Auto_stag_to_target,wf_records_tap,m_records_tap,low,stg.folder_control,${mer_home}/Scripts/mer_pmcmd.ksh Auto_stag_to_target wf_records_tap/log/wf_records_tap_cotlm.log 2>&1
p12mer,p46mer,,,,,,touch ${mer_home}/log/touch.etl.auto_dm_TAP
p33ss,p11mer,,,,,,"""$srcdir"" delete_done_files.ksh sso_mc_pnl_monthly.ist > $logdir delete_done_files.ksh sso_mc_pnl_monthly.log 2>&1"
p32ss,p24mer,,,,,,"""$srcdir"" delete_done_files.ksh sso_mc_prem_monthly.ist > $logdir delete_done_files.ksh sso_mc_prem_monthly.log 2>&1"
p38ss,p32ss,,,,,,"""$srcdir"" delete_done_files.ksh sso_mc_vm_prem_monthly.ist > $logdir delete_done_files.ksh sso_mc_vm_prem_monthly.log 2>&1"
,p32ss,,,,,,
,p32ss,,,,,,
